store_id,category,category_percentage
865,"Stationery and Supplies",0.015472
865,"Apparel and Merchandise",0.042536
865,Textbooks,0.157851
865,"Art Supplies",0.034434
865,"Technology & Accessories",0.736638
865,"Books (General)",0.013069
866,"Technology & Accessories",0.680956
866,"Apparel and Merchandise",0.047081
866,"Books (General)",0.016852
866,Textbooks,0.199751
866,"Art Supplies",0.039980
866,"Stationery and Supplies",0.015380
867,"Technology & Accessories",0.719978
867,Textbooks,0.168856
867,"Books (General)",0.013463
867,"Stationery and Supplies",0.014359
867,"Apparel and Merchandise",0.042210
867,"Art Supplies",0.041133
868,"Stationery and Supplies",0.015931
868,"Apparel and Merchandise",0.044034
868,"Art Supplies",0.036033
868,"Books (General)",0.018492
868,"Technology & Accessories",0.736650
868,Textbooks,0.148860
869,"Technology & Accessories",0.707031
869,"Art Supplies",0.043003
869,"Books (General)",0.020858
869,Textbooks,0.165552
869,"Apparel and Merchandise",0.048152
869,"Stationery and Supplies",0.015404
870,"Apparel and Merchandise",0.041897
870,"Art Supplies",0.032691
870,"Stationery and Supplies",0.014624
870,"Books (General)",0.015394
870,Textbooks,0.167118
870,"Technology & Accessories",0.728275
871,"Art Supplies",0.041624
871,"Apparel and Merchandise",0.052396
871,"Technology & Accessories",0.679453
871,"Stationery and Supplies",0.017650
871,"Books (General)",0.022039
871,Textbooks,0.186839
872,Textbooks,0.174211
872,"Apparel and Merchandise",0.041376
872,"Technology & Accessories",0.715504
872,"Stationery and Supplies",0.015329
872,"Books (General)",0.016761
872,"Art Supplies",0.036820
