store_id,category,category_percentage
840,"Technology & Accessories",0.688905
840,"Art Supplies",0.039100
840,"Books (General)",0.014589
840,"Stationery and Supplies",0.015215
840,"Apparel and Merchandise",0.049223
840,Textbooks,0.192968
841,Textbooks,0.174965
841,"Books (General)",0.015748
841,"Art Supplies",0.037196
841,"Technology & Accessories",0.711697
841,"Apparel and Merchandise",0.045577
841,"Stationery and Supplies",0.014816
842,"Technology & Accessories",0.730092
842,"Books (General)",0.014261
842,"Apparel and Merchandise",0.041776
842,"Art Supplies",0.035661
842,"Stationery and Supplies",0.014924
842,Textbooks,0.163286
843,"Apparel and Merchandise",0.050779
843,"Books (General)",0.014682
843,"Stationery and Supplies",0.014941
843,Textbooks,0.164873
843,"Technology & Accessories",0.717355
843,"Art Supplies",0.037370
844,"Books (General)",0.017149
844,"Technology & Accessories",0.724472
844,"Art Supplies",0.037658
844,"Stationery and Supplies",0.014351
844,"Apparel and Merchandise",0.045360
844,Textbooks,0.161010
845,"Apparel and Merchandise",0.044202
845,"Books (General)",0.013836
845,"Art Supplies",0.036984
845,"Stationery and Supplies",0.014314
845,"Technology & Accessories",0.704015
845,Textbooks,0.186649
846,"Technology & Accessories",0.740225
846,"Books (General)",0.015267
846,"Art Supplies",0.030151
846,"Stationery and Supplies",0.013713
846,Textbooks,0.157304
846,"Apparel and Merchandise",0.043339
847,"Apparel and Merchandise",0.045079
847,"Stationery and Supplies",0.016563
847,"Books (General)",0.017060
847,"Technology & Accessories",0.697880
847,"Art Supplies",0.035921
847,Textbooks,0.187497
848,"Apparel and Merchandise",0.051298
848,"Technology & Accessories",0.690621
848,Textbooks,0.183421
848,"Stationery and Supplies",0.015935
848,"Art Supplies",0.042430
848,"Books (General)",0.016295
849,"Books (General)",0.018381
849,"Apparel and Merchandise",0.047585
849,Textbooks,0.185403
849,"Technology & Accessories",0.695879
849,"Stationery and Supplies",0.015020
849,"Art Supplies",0.037732
850,"Technology & Accessories",0.710802
850,"Art Supplies",0.035847
850,Textbooks,0.177407
850,"Stationery and Supplies",0.014828
850,"Books (General)",0.016786
850,"Apparel and Merchandise",0.044330
851,"Technology & Accessories",0.703651
851,Textbooks,0.181784
851,"Stationery and Supplies",0.017103
851,"Apparel and Merchandise",0.042802
851,"Art Supplies",0.036144
851,"Books (General)",0.018516
