month,total_revenue
2022-01,88593.78
2022-02,85826.95
2022-03,91138.97
2022-04,88467.14
2022-05,89758.70
2022-06,92558.71
2022-07,86907.01
2022-08,97934.52
2022-09,90865.27
2022-10,100543.35
2022-11,84353.10
2022-12,89687.10
2023-01,123561.46
2023-02,140342.02
2023-03,130792.70
2023-04,142921.19
2023-05,140586.51
2023-06,123219.97
2023-07,140411.49
2023-08,137867.56
2023-09,138372.67
2023-10,130443.37
2023-11,122311.06
2023-12,126351.48
2024-01,152281.19
2024-02,124290.03
2024-03,145484.18
2024-04,138023.52
2024-05,128532.80
2024-06,135098.66
2024-07,137867.56
2024-08,140822.57
2024-09,127993.47
2024-10,123604.78
2024-11,125057.76
2024-12,123561.46
2025-01,203795.78
2025-02,160122.58
2025-03,188677.11
2025-04,175940.74
2025-05,186348.22
2025-06,195863.70
2025-07,215566.26
2025-08,210825.11
2025-09,190629.14
2025-10,301070.13
2025-11,186703.13
2025-12,221063.57
