month,total_revenue
2022-01,29958.25
2022-02,25563.98
2022-03,33995.57
2022-04,31587.12
2022-05,37953.48
2022-06,32008.85
2022-07,30656.27
2022-08,42881.99
2022-09,30369.64
2022-10,43646.37
2022-11,25950.41
2022-12,34680.64
2023-01,38351.45
2023-02,53435.37
2023-03,50828.54
2023-04,45747.20
2023-05,39215.78
2023-06,39754.07
2023-07,49592.69
2023-08,48445.34
2023-09,49175.79
2023-10,45347.65
2023-11,42683.73
2023-12,50446.82
2024-01,57974.76
2024-02,49206.33
2024-03,46044.68
2024-04,38918.30
2024-05,41203.81
2024-06,48142.95
2024-07,48445.34
2024-08,49633.16
2024-09,44890.28
2024-10,43061.44
2024-11,50069.11
2024-12,38351.45
2025-01,68601.89
2025-02,55131.75
2025-03,69261.43
2025-04,58288.72
2025-05,66996.15
2025-06,60671.67
2025-07,88590.03
2025-08,77048.51
2025-09,71032.14
2025-10,115828.46
2025-11,59762.07
2025-12,92791.01
